store_id,date,campaign_name,ad_group_name,targeting_type,match_type,search_term,impressions,clicks,ctr,cpc,spend,total_sales,acos,total_orders,total_units,conversion_rate
1,2024-01-09,Winter Sale,Winter Sale - Electronics,MANUAL,exact,wireless earbuds pro,2458,85,0.035,0.45,38.25,899.99,0.25,28,28,0.15
1,2024-01-09,Tech Deals,Tech Deals - Smart Home,AUTO,broad,smart plug wifi,1856,62,0.033,0.38,23.56,439.78,0.32,22,22,0.12
1,2024-01-09,Gaming Gear,Gaming Gear - Gaming,MANUAL,phrase,gaming mouse rgb,2156,78,0.036,0.42,32.76,1259.58,0.28,42,42,0.18
1,2024-01-09,Home Office,Home Office - Desk,AUTO,broad,standing desk,2789,92,0.033,0.52,47.84,2479.69,0.19,31,31,0.14
1,2024-01-09,Smart Home,Smart Home - Security,MANUAL,exact,security camera hd,2567,88,0.034,0.48,42.24,3279.59,0.15,41,41,0.17
1,2024-01-10,Winter Sale,Winter Sale - Gaming,AUTO,broad,gaming headset,1987,68,0.034,0.35,23.8,1519.62,0.22,38,38,0.16
1,2024-01-10,Tech Deals,Tech Deals - Electronics,MANUAL,phrase,smart watch elite,2234,76,0.034,0.44,33.44,749.85,0.31,15,15,0.09
1,2024-01-10,Gaming Gear,Gaming Gear - Controllers,AUTO,broad,wireless controller,1876,64,0.034,0.39,24.96,1249.75,0.25,25,25,0.13
1,2024-01-10,Home Office,Home Office - Lighting,MANUAL,exact,led desk lamp,2345,79,0.034,0.46,36.34,599.8,0.35,20,20,0.11
1,2024-01-10,Smart Home,Smart Home - Climate,AUTO,broad,smart thermostat wifi,2678,89,0.033,0.51,45.39,2879.64,0.18,36,36,0.15
1,2024-01-11,Winter Sale,Winter Sale - Electronics,MANUAL,phrase,bluetooth speaker,2123,72,0.034,0.43,30.96,359.88,0.49,12,12,0.07
1,2024-01-11,Tech Deals,Tech Deals - Accessories,AUTO,broad,usb c hub,1945,67,0.034,0.37,24.79,439.78,0.32,22,22,0.12
1,2024-01-11,Gaming Gear,Gaming Gear - Keyboards,MANUAL,exact,mechanical keyboard,2567,87,0.034,0.49,42.63,2559.68,0.19,32,32,0.14
1,2024-01-11,Home Office,Home Office - Organization,AUTO,broad,file organizer,1788,61,0.034,0.36,21.96,279.86,0.45,14,14,0.08
1,2024-01-11,Smart Home,Smart Home - Lighting,MANUAL,phrase,smart bulb color,2345,79,0.034,0.46,36.34,579.71,0.36,29,29,0.13
1,2024-01-12,Winter Sale,Winter Sale - Smart Home,AUTO,broad,video doorbell,2678,90,0.034,0.52,46.8,2639.67,0.2,33,33,0.14
1,2024-01-12,Tech Deals,Tech Deals - Gaming,MANUAL,exact,gaming mouse,2456,83,0.034,0.47,39.01,1799.55,0.24,45,45,0.19
1,2024-01-12,Gaming Gear,Gaming Gear - Chairs,AUTO,broad,gaming chair premium,2123,73,0.034,0.42,30.66,4199.79,0.08,21,21,0.11
1,2024-01-12,Home Office,Home Office - Ergonomics,MANUAL,phrase,ergonomic mouse pad,1876,64,0.034,0.39,24.96,269.82,0.53,18,18,0.1
1,2024-01-12,Smart Home,Smart Home - Plugs,AUTO,broad,smart plug mini,2234,76,0.034,0.44,33.44,459.77,0.42,23,23,0.11
1,2024-01-13,Winter Sale,Winter Sale - Keyboards,MANUAL,exact,wireless keyboard,2567,87,0.034,0.49,42.63,1399.65,0.22,35,35,0.15
1,2024-01-13,Tech Deals,Tech Deals - Cameras,AUTO,broad,webcam 4k,1945,67,0.034,0.37,24.79,1259.58,0.23,42,42,0.18
1,2024-01-13,Gaming Gear,Gaming Gear - Audio,MANUAL,phrase,gaming headset 7.1,2345,79,0.034,0.46,36.34,1519.62,0.27,38,38,0.16
1,2024-01-13,Home Office,Home Office - Desks,AUTO,broad,converter desk,2678,90,0.034,0.52,46.8,2479.69,0.21,31,31,0.13
1,2024-01-13,Smart Home,Smart Home - Cameras,MANUAL,exact,hd security camera,2456,83,0.034,0.47,39.01,3279.59,0.14,41,41,0.17
1,2024-01-14,Winter Sale,Winter Sale - Accessories,AUTO,broad,usb hub 8 port,1987,68,0.034,0.35,23.8,439.78,0.31,22,22,0.12
1,2024-01-14,Tech Deals,Tech Deals - Smart Home,MANUAL,phrase,smart thermostat,2234,76,0.034,0.44,33.44,2879.64,0.13,36,36,0.15
1,2024-01-14,Gaming Gear,Gaming Gear - Mice,AUTO,broad,rgb gaming mouse,2567,87,0.034,0.49,42.63,1799.55,0.27,45,45,0.19
1,2024-01-14,Home Office,Home Office - Lighting,MANUAL,exact,desk lamp led,1876,64,0.034,0.39,24.96,599.8,0.24,20,20,0.11
1,2024-01-14,Smart Home,Smart Home - Doorbells,AUTO,broad,pro doorbell camera,2345,79,0.034,0.46,36.34,2639.67,0.16,33,33,0.14
1,2024-01-15,Winter Sale,Winter Sale - Audio,MANUAL,phrase,earbuds wireless,2678,90,0.034,0.52,46.8,899.99,0.3,28,28,0.13
1,2024-01-15,Tech Deals,Tech Deals - Wearables,AUTO,broad,smart watch,2456,83,0.034,0.47,39.01,749.85,0.3,15,15,0.08
1,2024-01-15,Gaming Gear,Gaming Gear - Controls,MANUAL,exact,pro controller,1987,68,0.034,0.35,23.8,1249.75,0.22,25,25,0.13
1,2024-01-15,Home Office,Home Office - Storage,AUTO,broad,organizer set,2234,76,0.034,0.44,33.44,279.86,0.69,14,14,0.08
1,2024-01-15,Smart Home,Smart Home - Automation,MANUAL,phrase,smart bulb rgb,2567,87,0.034,0.49,42.63,579.71,0.42,29,29,0.13
1,2024-01-16,Winter Sale,Winter Sale - Gaming,AUTO,broad,rgb keyboard,2876,95,0.033,0.55,52.25,2559.68,0.23,32,32,0.14
1,2024-01-16,Tech Deals,Tech Deals - Audio,MANUAL,exact,mini speaker bt,1945,67,0.034,0.37,24.79,359.88,0.4,12,12,0.07
1,2024-01-16,Gaming Gear,Gaming Gear - Seating,AUTO,broad,premium chair gaming,2345,79,0.034,0.46,36.34,4199.79,0.1,21,21,0.11
1,2024-01-16,Home Office,Home Office - Accessories,MANUAL,phrase,mouse pad ergonomic,1876,64,0.034,0.39,24.96,269.82,0.53,18,18,0.1
1,2024-01-16,Smart Home,Smart Home - Plugs,AUTO,broad,mini smart plug,2234,76,0.034,0.44,33.44,459.77,0.42,23,23,0.11
1,2024-01-17,Winter Sale,Winter Sale - Peripherals,MANUAL,exact,pro keyboard wireless,2567,87,0.034,0.49,42.63,1399.65,0.22,35,35,0.15
1,2024-01-17,Tech Deals,Tech Deals - Cameras,AUTO,broad,hd webcam 4k,1945,67,0.034,0.37,24.79,1259.58,0.23,42,42,0.18
1,2024-01-17,Gaming Gear,Gaming Gear - Sound,MANUAL,phrase,surround headset,2345,79,0.034,0.46,36.34,1519.62,0.27,38,38,0.16
1,2024-01-17,Home Office,Home Office - Furniture,AUTO,broad,standing converter,2678,90,0.034,0.52,46.8,2479.69,0.21,31,31,0.13
1,2024-01-17,Smart Home,Smart Home - Security,MANUAL,exact,camera system hd,2456,83,0.034,0.47,39.01,3279.59,0.14,41,41,0.17
1,2024-01-18,Winter Sale,Winter Sale - Connectivity,AUTO,broad,hub usb c,1987,68,0.034,0.35,23.8,439.78,0.31,22,22,0.12
1,2024-01-18,Tech Deals,Tech Deals - Climate,MANUAL,phrase,wifi thermostat,2234,76,0.034,0.44,33.44,2879.64,0.13,36,36,0.15
1,2024-01-18,Gaming Gear,Gaming Gear - Mice,AUTO,broad,gaming mouse pro,2567,87,0.034,0.49,42.63,1799.55,0.27,45,45,0.19
1,2024-01-18,Home Office,Home Office - Lighting,MANUAL,exact,lamp desk led,1876,64,0.034,0.39,24.96,599.8,0.24,20,20,0.11
1,2024-01-18,Smart Home,Smart Home - Security,AUTO,broad,video pro doorbell,2345,79,0.034,0.46,36.34,2639.67,0.16,33,33,0.14
