asin,title,main_category,subcategory
B07W429K6Y,Echo Dot (5th Gen 2022 release),Electronics,Smart Speakers
B0812TF23Z,Apple AirPods Pro (2nd Generation),Electronics,Headphones & Earbuds
B07X1KLSX3,Fire TV Stick 4K,Electronics,Streaming Media Players
B07FQ4D7ZR,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Home & Kitchen,Small Appliances
B09G9C66FG,Hanes Men's EcoSmart Fleece Sweatshirt,Clothing,Men's Clothing
B07G52FF9Z,Lodge Cast Iron Skillet 12 Inch,Home & Kitchen,Cookware
B07RM6Q9V5,Hydro Flask Water Bottle,Sports & Outdoors,Water Bottles
B0863M14VG,CeraVe Moisturizing Cream,Beauty & Personal Care,Skin Care
B00TTQS09C,Bic Cristal Xtra Smooth Ballpoint Pen,Office Products,Writing Supplies
B01G7W9FPA,Amazon Basics Microfiber Cleaning Cloths,Home & Kitchen,Cleaning Supplies
B08J62B6QW,Anker USB C Charger,Electronics,Cell Phone Accessories
B07F12Q951,LEGO Classic Large Creative Brick Box,Toys & Games,Building Toys
B00006IJS4,Crayola Super Tips Washable Markers,Office Products,Art Supplies
B09H3QTHMY,Nintendo Switch – OLED Model,Video Games,Gaming Consoles
B08F28S7JS,Samsung 980 SSD 1TB,Electronics,Computer Components
B07KGJ6R1K,Revlon One-Step Volumizer Hair Dryer,Beauty & Personal Care,Hair Care Appliances
B091FDTYLL,Beckham Hotel Collection Bed Pillows,Home & Kitchen,Bedding
B07X5C4YS3,Vitafusion Gummy Vitamins,Health & Household,Vitamins & Supplements
B017H372M0,Lysol Disinfectant Wipes,Health & Household,Household Cleaners
B07XYTHV6D,Blue Buffalo Life Protection Dog Food,Pet Supplies,Dog Food
B014WAE73Q,WD 40 Multi-Use Product,Tools & Home Improvement,Lubricants
B0732L2N8Q,Contigo AUTOSEAL Travel Mug,Home & Kitchen,Travel Mugs
B086JPX5G5,Burt's Bees Natural Lip Balm,Beauty & Personal Care,Lip Care
B0001201S0,Fiskars Softouch Scissors,Office Products,Scissors & Cutting Tools
B07K1N6K55,TP-Link AC1200 WiFi Router,Electronics,Networking Products
B08L859V5D,Clorox Toilet Bowl Cleaner,Health & Household,Bathroom Cleaners
B07PPR1CGH,Ziploc Gallon Food Storage Bags,Home & Kitchen,Food Storage
B082F34G9H,Rubbermaid Food Storage Containers,Home & Kitchen,Food Storage
B07VZM37Q8,Mario Kart 8 Deluxe,Video Games,Games
B081S9W44H,OxiClean Versatile Stain Remover,Health & Household,Laundry Care
